"sim","optMLE2_beta0","optMLE2_beta1","optMLE2_beta2","optMLE2_conv_msg","optMLE_wave1_est","optMLE_data_resampled","optMLE_sing_inf","tpr","fpr"
110,-1.59344351217732,0.981667335244476,-0.119525891579778,"Converged","MLE",FALSE,FALSE,0.99,0.01
111,-1.69053826346831,1.54417058094764,-0.111406946086615,"Converged","MLE",FALSE,FALSE,0.99,0.01
112,-1.90411880379153,1.1607139770547,-0.0763898883995374,"Converged","CC",TRUE,FALSE,0.99,0.01
113,NA,NA,NA,"MAX_ITER reached","MLE",FALSE,FALSE,0.99,0.01
114,-1.31027365121706,0.0394882587873095,-0.136505053351028,"Converged","MLE",TRUE,FALSE,0.99,0.01
115,-1.25200637260305,0.133935979770574,-0.139386655946905,"Converged","MLE",TRUE,FALSE,0.99,0.01
116,NA,NA,NA,"MAX_ITER reached","CC",FALSE,FALSE,0.99,0.01
117,-1.41953693875345,1.6774119686853,-0.185318897756471,"Converged","MLE",FALSE,FALSE,0.99,0.01
118,-2.23436580232118,2.98611906993566,-0.102695411715781,"Converged","MLE",FALSE,FALSE,0.99,0.01
119,-2.49577070709298,3.59121781436951,-0.107870397893389,"Converged","MLE",FALSE,FALSE,0.99,0.01
120,-2.71084563603541,3.17136046281584,-0.0239395404986213,"Converged","MLE",FALSE,FALSE,0.99,0.01
121,-2.42015053294367,3.24094867514679,-0.072905635720164,"Converged","MLE",FALSE,FALSE,0.99,0.01
122,-2.00268538182518,1.62732333952166,-0.0519118553909523,"Converged","MLE",FALSE,FALSE,0.99,0.01
123,-1.98607640929577,1.8313755659279,-0.100382008875605,"Converged","MLE",FALSE,FALSE,0.99,0.01
124,-2.62166207748562,3.87601662953411,-0.106792498710794,"Converged","MLE",FALSE,FALSE,0.99,0.01
125,-2.1852475652499,3.04689295209615,-0.143501634208692,"Converged","MLE",FALSE,FALSE,0.99,0.01
126,-1.66661037076286,0.941867915338548,-0.103354133338839,"Converged","MLE",FALSE,FALSE,0.99,0.01
127,-3.06205820049709,4.22595602834548,-0.0271911962563818,"Converged","MLE",TRUE,FALSE,0.99,0.01
128,-1.76767716617376,1.90306579224457,-0.127985049423569,"Converged","MLE",TRUE,FALSE,0.99,0.01
