"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","srs_data_resampled","audit_recovery"
54,-1.79445725013323,1.14504462884402,-0.0723692266191835,"Converged",FALSE,0.25
55,-2.03108570151189,1.22956472178176,-0.0437028444215297,"Converged",FALSE,0.25
56,-1.96535587876849,1.38358335889571,-0.0294643799927692,"Converged",FALSE,0.25
57,-1.78013823236273,0.324400974651735,-0.0535506374031599,"Converged",FALSE,0.25
58,-1.647184604955,0.342870015771903,-0.0803964073219921,"Converged",FALSE,0.25
59,-1.99662434307406,2.07474010039773,-0.0823809638981204,"Converged",FALSE,0.25
60,-1.82859308763777,0.666381387599904,-0.0537053209139584,"Converged",FALSE,0.25
61,-1.64652823204937,1.18909138251899,-0.0851007151803202,"Converged",TRUE,0.25
62,-2.28387610236985,2.2621161025362,-0.0930431308212883,"Converged",FALSE,0.25
63,-1.81905168300226,1.30768235895682,-0.0668876845773044,"Converged",FALSE,0.25
64,-2.16432022424782,1.91666246707818,-0.0845287765501927,"Converged",FALSE,0.25
65,-1.52082914936401,0.230854770922906,-0.081694746415328,"Converged",FALSE,0.25
66,-2.15045576992368,1.68904353203891,-0.0574116571869602,"Converged",FALSE,0.25
67,-1.60331207585112,0.679729772924043,-0.069625846760894,"Converged",FALSE,0.25
68,-1.436511941409,0.658828245057576,-0.156073789440287,"Converged",FALSE,0.25
69,-1.31496306705763,0.445057060509105,-0.128334327036284,"Converged",FALSE,0.25
70,-2.52173583709691,2.62953482767263,-0.0461610451118916,"Converged",FALSE,0.25
71,-2.4585292621843,2.67625673436153,-0.0726267305665325,"Converged",FALSE,0.25
72,-1.64372977267543,1.28238676822528,-0.134455873411283,"Converged",FALSE,0.25
73,-1.82026587474437,1.24176583943173,-0.10507693408509,"Converged",FALSE,0.25
74,-1.52883516883345,1.24275743147994,-0.153195477199192,"Converged",FALSE,0.25
75,-2.25932781966293,3.05288465250626,-0.125001281245698,"Converged",FALSE,0.25
76,-1.31439504370863,0.347633008256246,-0.138200419244035,"Converged",FALSE,0.25
77,-2.27149996525741,2.75551918283718,-0.117809327865225,"Converged",FALSE,0.25
78,-2.29203758462999,2.4123767325692,-0.0906736976202105,"Converged",FALSE,0.25
79,-2.22756473365458,2.28462491053035,-0.0994225069960247,"Converged",FALSE,0.25
80,-1.83115084556514,2.35358149763737,-0.165584302276381,"Converged",FALSE,0.25
81,NA,NA,NA,"MAX_ITER reached",FALSE,0.25
82,-1.21260847553297,0.858503630451857,-0.169696686355056,"Converged",FALSE,0.25
83,-1.58254168580998,0.652648667172919,-0.114987812425582,"Converged",FALSE,0.25
84,-1.921880076303,1.07887284922152,-0.0558316669799187,"Converged",FALSE,0.25
85,-1.64419619717774,1.40087286803779,-0.135715975061365,"Converged",FALSE,0.25
86,-2.0108977108433,1.44928029303966,-0.0435320994771379,"Converged",FALSE,0.25
87,-1.53089020439408,1.02102713962126,-0.117949021317743,"Converged",FALSE,0.25
88,-2.22402378971634,1.49221563715375,-0.0624827687533892,"Converged",FALSE,0.25
89,-1.62178460542867,1.58192198235576,-0.128896418364493,"Converged",FALSE,0.25
90,-1.78475685544724,0.596235532218184,-0.0574898016865556,"Converged",FALSE,0.25
91,-1.48647866960184,0.881051556641228,-0.132549284136055,"Converged",TRUE,0.25
92,-1.63821101137583,1.10552066344524,-0.109797213300674,"Converged",FALSE,0.25
93,-1.58718896621643,1.21351484767594,-0.124023082907958,"Converged",FALSE,0.25
94,-1.03568068683769,-0.212819965030631,-0.168550482406923,"Converged",FALSE,0.25
95,-2.15994310603834,1.6951223014448,-0.0611453252913489,"Converged",FALSE,0.25
