"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr"
28,-1.10087255687186,-0.818263089152801,-0.0120377027354407,"Converged",FALSE,-1.24763855997546,-0.347798565237619,-0.0119910935090894,"Converged",FALSE,-1.33814412548783,-0.0737780390097409,-0.0119038433968183,"Converged",FALSE,-1.23745380469137,-0.37312494097521,-0.011980404926959,"Converged",FALSE,-1.36068086333066,-0.00243651084549498,-0.0118932552788319,"Converged",FALSE,0.99,0.01
29,-2.04135290917584,2.05044502871157,-0.00686063942479752,"Converged",FALSE,-1.88714079643478,1.52098676804394,-0.00654768154118222,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.0205939179597,2.12065289432306,-0.00735398291169282,"Converged",FALSE,0.99,0.01
30,-0.623468151922081,0.98998084065735,-0.0309239864711108,"Converged",FALSE,-0.86478080898485,1.83743086716638,-0.0313086507087575,"Converged",FALSE,-0.697157829557758,1.20080747081269,-0.0307889488077056,"Converged",FALSE,-0.419601944371424,0.362233594851106,-0.0309071100286381,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01
31,-1.65445771850316,0.78227570594164,-0.00724352663175892,"Converged",FALSE,-1.80674038024384,1.22613947598729,-0.0073121282652151,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.67148685557618,0.811830212129255,-0.00723541343933611,"Converged",FALSE,0.99,0.01
32,-2.1442612341118,1.46745261898568,-0.0016121472060762,"Converged",FALSE,-2.04697932203714,1.2490792380329,-0.00176770460695259,"Converged",FALSE,-2.11760867052783,1.40431641485733,-0.00140130781433599,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.17998995993357,1.53667940264873,-0.00161989644940488,"Converged",FALSE,0.99,0.01
33,-2.38315151934108,0.192875987577127,0.0132184379233142,"Converged",FALSE,-2.40062070325109,0.233552820438921,0.0132389810188519,"Converged",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,-2.28779806209451,-0.103221047005545,0.0132525072172796,"Converged",FALSE,0.99,0.01
34,-2.63232565666778,3.34107273056233,-0.00440862019019767,"Converged",FALSE,-2.25644629905613,1.93678257524099,-0.00389727095136155,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01
35,-1.17646041517498,0.925242565667572,-0.0176099581876857,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.30924726239409,1.37246482781089,-0.0174599932471233,"Converged",FALSE,-1.28020891985301,1.22897864889442,-0.0174461545395405,"Converged",FALSE,-1.21751707162816,1.06286916652775,-0.017572747789621,"Converged",FALSE,0.99,0.01
36,-1.77227692086681,1.50138981550136,-0.00940062007233065,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.02325126082032,2.18145962592626,-0.00901728454114472,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.99,0.01
37,-1.79448121217734,1.30789881840571,-0.0104104329938343,"Converged",FALSE,-1.5527706866347,0.563384468271341,-0.0105930171101604,"Converged",FALSE,-1.62151489116033,0.76223749281487,-0.0104476311789527,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.53198620688689,0.457382692231454,-0.0104869953439807,"Converged",FALSE,0.99,0.01
