"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
27,0.9,"BCC",-1.86486874064132,1.75358555084515,0.0870809414637624,"Converged",FALSE,25,25,25,25,0.99,0.01
27,0.9,"RESID",-1.83117846146554,1.64893730633336,0.087630083900995,"Converged",FALSE,17,33,0,50,0.99,0.01
27,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,27,23,33,17,0.99,0.01
28,0.9,"SRS",-2.24812057805628,2.46499973595673,0.118560338630705,"Converged",FALSE,5,84,2,9,0.99,0.01
28,0.9,"CC",-2.35537936177443,2.6462770638791,0.121558022924386,"Converged",FALSE,1,49,4,46,0.99,0.01
28,0.9,"BCC",-2.39064447465006,2.59906220619093,0.121469415804069,"Converged",FALSE,26,26,23,25,0.99,0.01
28,0.9,"RESID",-2.32477888650102,2.49870260472544,0.120495960525018,"Converged",FALSE,12,38,0,50,0.99,0.01
28,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,22,28,22,28,0.99,0.01
29,0.9,"SRS",-1.99618610965597,1.99292022088377,0.0950022053894828,"Converged",FALSE,5,74,0,21,0.99,0.01
29,0.9,"CC",-1.94624392829584,1.77681312262166,0.0966686089719577,"Converged",FALSE,5,45,3,47,0.99,0.01
29,0.9,"BCC",-2.03294769613377,2.05206772437266,0.0970118711603408,"Converged",FALSE,26,26,23,25,0.99,0.01
29,0.9,"RESID",-2.08790836366895,2.2752285032138,0.0984067840035326,"Converged",FALSE,16,34,0,50,0.99,0.01
29,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,32,18,23,27,0.99,0.01
30,0.9,"SRS",-2.32742371227464,2.29414499553043,0.1346066177913,"Converged",FALSE,9,64,3,24,0.99,0.01
30,0.9,"CC",-2.6922996467547,3.46166015352293,0.139647870536256,"Converged",FALSE,4,46,10,40,0.99,0.01
30,0.9,"BCC",-2.34620584828798,2.3941049745967,0.137610594187203,"Converged",FALSE,25,25,25,25,0.99,0.01
30,0.9,"RESID",-2.39668269703741,2.53395445155137,0.136103027496638,"Converged",FALSE,18,32,1,49,0.99,0.01
30,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,32,18,32,18,0.99,0.01
31,0.9,"SRS",-1.97837278520094,1.69510689924093,0.113369334827178,"Converged",FALSE,3,68,2,27,0.99,0.01
31,0.9,"CC",-2.18662722352529,2.24289840204209,0.115076673447697,"Converged",FALSE,4,46,8,42,0.99,0.01
31,0.9,"BCC",-2.25889880344809,2.46233811677968,0.11519373899611,"Converged",FALSE,25,25,25,25,0.99,0.01
31,0.9,"RESID",-1.94308103509607,1.66924211726362,0.11279791140554,"Converged",FALSE,16,34,0,50,0.99,0.01
31,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,38,12,34,16,0.99,0.01
32,0.9,"SRS",-1.56143247704832,1.2465932894814,0.0973394592652451,"Converged",FALSE,4,66,5,25,0.99,0.01
32,0.9,"CC",-1.60601646858968,1.39371570633517,0.0968531957535215,"Converged",FALSE,6,44,8,42,0.99,0.01
32,0.9,"BCC",-1.68985426046892,1.59751542560303,0.0983713884605461,"Converged",FALSE,25,25,25,25,0.99,0.01
32,0.9,"RESID",-1.61198661766367,1.34240408729606,0.0978339760744716,"Converged",FALSE,14,36,0,50,0.99,0.01
32,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,31,19,31,19,0.99,0.01
33,0.9,"SRS",-1.85541191254735,1.81209216833148,0.100893107988809,"Converged",FALSE,7,61,1,31,0.99,0.01
33,0.9,"CC",-1.87695241570264,1.91697449392118,0.103293082889619,"Converged",FALSE,2,48,4,46,0.99,0.01
33,0.9,"BCC",-1.92066387607192,1.91734475599012,0.103002723791004,"Converged",FALSE,25,25,25,25,0.99,0.01
33,0.9,"RESID",-1.85265395731315,1.80213714536054,0.103867386355574,"Converged",FALSE,17,33,0,50,0.99,0.01
33,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,33,17,27,23,0.99,0.01
34,0.9,"SRS",-1.75383240283565,1.03224534818183,0.121939896108071,"Converged",FALSE,7,60,2,31,0.99,0.01
34,0.9,"CC",-1.86392001381825,1.38465272668722,0.121857556771902,"Converged",FALSE,2,48,4,46,0.99,0.01
34,0.9,"BCC",-1.74265812415654,1.04343591370444,0.121359050385436,"Converged",FALSE,25,25,25,25,0.99,0.01
34,0.9,"RESID",-1.70598497033888,0.878945775434523,0.122168699961771,"Converged",FALSE,8,42,1,49,0.99,0.01
34,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,36,14,26,24,0.99,0.01
35,0.9,"SRS",-1.68189811829893,1.39634213387182,0.0935297190752309,"Converged",FALSE,7,54,4,35,0.99,0.01
35,0.9,"CC",-2.01438309053527,2.59598194328431,0.0938093812210031,"Converged",FALSE,4,46,4,46,0.99,0.01
35,0.9,"BCC",-1.8042250807075,1.68822193947997,0.094917611252287,"Converged",FALSE,25,25,25,25,0.99,0.01
35,0.9,"RESID",-1.78235220819311,1.68525671504794,0.0931463626106157,"Converged",FALSE,19,31,0,50,0.99,0.01
35,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,39,11,31,19,0.99,0.01
36,0.9,"SRS",-1.79264436456494,1.90212100573212,0.0505155639585307,"Converged",FALSE,6,58,2,34,0.99,0.01
36,0.9,"CC",-1.90054888756598,2.21942699936476,0.0507830791257161,"Converged",FALSE,4,46,5,45,0.99,0.01
36,0.9,"BCC",-1.58600272394503,1.3377555521611,0.0498100244739624,"Converged",FALSE,25,25,25,25,0.99,0.01
36,0.9,"RESID",-1.73644746692815,1.83800052344185,0.0504666560590925,"Converged",FALSE,24,26,0,50,0.99,0.01
36,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,38,12,25,25,0.99,0.01
37,0.9,"SRS",-1.85203254397525,1.33735698959635,0.113088549482233,"Converged",FALSE,4,63,0,33,0.99,0.01
37,0.9,"CC",-1.73120898744625,0.97054529200601,0.113661044767626,"Converged",FALSE,2,48,2,48,0.99,0.01
37,0.9,"BCC",-1.9448571762897,1.61800309250559,0.113948269602691,"Converged",FALSE,27,26,21,26,0.99,0.01
37,0.9,"RESID",-1.75138581558855,1.08811225508722,0.112773447024952,"Converged",FALSE,19,31,0,50,0.99,0.01
37,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,34,16,21,29,0.99,0.01
38,0.9,"SRS",-2.23502558589799,3.17172317929063,0.0937788264069152,"Converged",FALSE,4,65,4,27,0.99,0.01
38,0.9,"CC",-2.17184185730174,2.9073901764224,0.0940096207199712,"Converged",FALSE,5,45,10,40,0.99,0.01
38,0.9,"BCC",-2.09549502913198,2.73286496921809,0.0958984590131852,"Converged",FALSE,25,25,25,25,0.99,0.01
38,0.9,"RESID",-2.08470924698047,2.75258657480446,0.0946780445209227,"Converged",FALSE,27,23,0,50,0.99,0.01
38,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,35,15,36,14,0.99,0.01
39,0.9,"SRS",-2.60511469507615,3.15086964566992,0.139417723071885,"Converged",FALSE,8,65,3,24,0.99,0.01
39,0.9,"CC",-2.4194014006691,2.60894218676639,0.140107034952909,"Converged",FALSE,1,49,4,46,0.99,0.01
39,0.9,"BCC",-2.36203652259888,2.38836437757907,0.138024887857189,"Converged",FALSE,26,26,22,26,0.99,0.01
39,0.9,"RESID",-2.23691815190557,2.13381981672361,0.137086813038526,"Converged",FALSE,12,38,0,50,0.99,0.01
39,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,27,23,20,30,0.99,0.01
40,0.9,"SRS",-1.59755473118699,1.19145781952623,0.0813438677726881,"Converged",FALSE,3,64,3,30,0.99,0.01
40,0.9,"CC",-1.57360036762477,1.08297332924969,0.0809469258236937,"Converged",FALSE,3,47,4,46,0.99,0.01
40,0.9,"BCC",-1.53603238143715,1.053016895067,0.081017445310594,"Converged",FALSE,25,25,25,25,0.99,0.01
40,0.9,"RESID",-1.68200902672474,1.52187944058567,0.082223188588829,"Converged",FALSE,7,43,0,50,0.99,0.01
40,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,36,14,33,17,0.99,0.01
41,0.9,"SRS",-1.94044130857927,2.27467703982761,0.0665514456689391,"Converged",FALSE,5,72,2,21,0.99,0.01
41,0.9,"CC",-1.66531055129425,1.46977541970228,0.0675142313149241,"Converged",FALSE,3,47,8,42,0.99,0.01
41,0.9,"BCC",-1.77666038289447,1.77742078059527,0.067795015614161,"Converged",FALSE,25,25,25,25,0.99,0.01
41,0.9,"RESID",-1.76497306412477,1.75362542720728,0.0681238712617117,"Converged",FALSE,24,26,0,50,0.99,0.01
41,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,39,11,32,18,0.99,0.01
42,0.9,"SRS",-1.96712101964555,2.07411641826191,0.0896058047158672,"Converged",FALSE,3,68,5,24,0.99,0.01
