"sim","cc_beta0","cc_beta1","cc_beta2","cc_conv_msg","tpr","fpr"
119,-1.85213255791998,0.829122486015794,-0.0146837450083591,"Converged",0.99,0.01
120,-2.14992917713366,2.2656832506113,-0.10100851522947,"Converged",0.99,0.01
121,-1.44074053971835,0.81547433775922,-0.125269167288217,"Converged",0.99,0.01
122,-3.0393163037265,3.64975582823454,-0.0249683743596673,"Converged",0.99,0.01
123,-2.03886679299891,1.85994097441881,-0.0911969297966565,"Converged",0.99,0.01
124,-2.63719302159306,3.73763420812207,-0.0862256317730811,"Converged",0.99,0.01
125,-2.51438795579334,3.54904486758999,-0.0891351117430136,"Converged",0.99,0.01
126,-1.69962618182912,1.38511900115181,-0.159388844086381,"Converged",0.99,0.01
127,-2.3533823498401,2.29805601932149,-0.045048419944065,"Converged",0.99,0.01
128,-1.54186865604559,0.652236336378596,-0.101975813896984,"Converged",0.99,0.01
129,-2.3583360771422,4.19698930304302,-0.187908242890874,"Converged",0.99,0.01
130,-2.04579397179595,2.22648732038059,-0.131077584290763,"Converged",0.99,0.01
131,-1.91348320337997,2.72387182861373,-0.171461177353293,"Converged",0.99,0.01
132,-1.86600599728888,2.59586031383267,-0.105836384751257,"Converged",0.99,0.01
133,-2.45555022457352,4.08098074313563,-0.156053379066805,"Converged",0.99,0.01
134,-1.94296888639386,1.87491937063166,-0.105822137723123,"Converged",0.99,0.01
135,-1.94616363730243,2.31084726777006,-0.110227597613285,"Converged",0.99,0.01
136,-2.23693321221704,3.12003941771245,-0.115756537853218,"Converged",0.99,0.01
137,-2.56659150271994,3.77949976553867,-0.0853494854525052,"Converged",0.99,0.01
138,-2.76580054684824,3.40193410807664,-0.026135171383594,"Converged",0.99,0.01
139,-1.55793613374002,1.13697174481247,-0.142531928013941,"Converged",0.99,0.01
140,-2.03991436399004,2.13985404381784,-0.0926821291595758,"Converged",0.99,0.01
141,NA,NA,NA,"B-spline error",0.99,0.01
142,-2.06071789318603,1.97153458029338,-0.0557702306090615,"Converged",0.99,0.01
143,-2.28140627865135,2.07423037177371,0.000208831225089876,"Converged",0.99,0.01
144,-2.00282066372777,3.06800457713856,-0.155348811825914,"Converged",0.99,0.01
145,-2.14381028792603,1.89490084613278,-0.0893747818748484,"Converged",0.99,0.01
146,-2.29889915229735,3.12229460811266,-0.116196535325985,"Converged",0.99,0.01
147,-2.35649081268633,1.41556207225649,0.00917592404793191,"Converged",0.99,0.01
148,-1.8258094600119,2.05474841479234,-0.11960186250018,"Converged",0.99,0.01
149,-2.28868171672143,1.79078162553915,-0.0164078972622867,"Converged",0.99,0.01
150,-1.30653613507863,0.82312206332509,-0.14616254275358,"Converged",0.99,0.01
151,-2.28771922401716,2.65504041914157,-0.0768617057847548,"Converged",0.99,0.01
152,-1.97460449981619,2.09014757163992,-0.142522170845739,"Converged",0.99,0.01
153,-1.68858387245681,1.6183119039935,-0.157668430064219,"Converged",0.99,0.01
154,-2.02990146831961,2.18056445492699,-0.093804070976496,"Converged",0.99,0.01
155,-1.7694092692638,1.03122107594933,-0.0889218232512002,"Converged",0.99,0.01
156,-2.1723621895298,1.85811076794119,-0.0535873696444742,"Converged",0.99,0.01
157,-2.3306866335303,2.51824302118394,-0.0347363607488506,"Converged",0.99,0.01
158,-1.94353588250443,1.95453554743193,-0.0872213412231619,"Converged",0.99,0.01
159,-2.06471673299419,1.7755714771933,-0.0460487766231352,"Converged",0.99,0.01
160,-1.94625671419423,1.83873177363588,-0.0946134949119806,"Converged",0.99,0.01
161,-1.93810590940839,0.984915516095879,-0.0557819266039568,"Converged",0.99,0.01
162,-2.34307333962022,2.75287206370138,-0.0820219614737292,"Converged",0.99,0.01
163,-1.87993327876788,2.36732648085525,-0.155263855488666,"Converged",0.99,0.01
164,-2.32423431580967,2.74881914615257,-0.0717799537294805,"Converged",0.99,0.01
165,-2.07351581342147,2.32331302730831,-0.114994745236357,"Converged",0.99,0.01
166,-2.04294757957407,2.88735905765522,-0.188752632195767,"Converged",0.99,0.01
167,-2.51136833686333,1.84282860451776,0.0189307184074488,"Converged",0.99,0.01
168,-1.38075020661305,1.15057547386249,-0.178108723373332,"Converged",0.99,0.01
169,-2.18996307505631,1.81421363110484,-0.0348970200384516,"Converged",0.99,0.01
170,-1.6994740979866,0.940596512003868,-0.117536493107331,"Converged",0.99,0.01
171,-1.90063845132346,2.28931781553115,-0.125479419702562,"Converged",0.99,0.01
172,NA,NA,NA,"B-spline error",0.99,0.01
173,-1.74785273938013,1.64955406005289,-0.1005473708711,"Converged",0.99,0.01
174,-1.81062721035643,0.0273475788422544,-0.0167023424612979,"Converged",0.99,0.01
175,-1.55221249162126,0.65593016124547,-0.0895052989450839,"Converged",0.99,0.01
176,NA,NA,NA,"B-spline error",0.99,0.01
177,-1.58283333613491,1.43262340759853,-0.134041292247118,"Converged",0.99,0.01
178,-2.86129202584784,4.6745533954645,-0.103341746000236,"Converged",0.99,0.01
179,-1.76718369443231,1.22071328740096,-0.12250355652451,"Converged",0.99,0.01
180,-2.2655048917037,2.68140087683879,-0.0813376413430828,"Converged",0.99,0.01
181,-1.79874372346097,0.61121144582134,-0.0434629755643935,"Converged",0.99,0.01
182,-2.20331437766562,2.54112385859074,-0.0883555623668018,"Converged",0.99,0.01
183,-1.46104658678569,1.01444888226728,-0.163896552875417,"Converged",0.99,0.01
184,-2.05661545526156,3.3338014485445,-0.181371289270957,"Converged",0.99,0.01
185,-1.52081931794623,1.57823810802018,-0.164995906073864,"Converged",0.99,0.01
186,-1.90689467031712,0.943183199634746,-0.0207370264107048,"Converged",0.99,0.01
187,-1.67049353461674,0.725786574437728,-0.081258583307255,"Converged",0.99,0.01
188,-2.28047271990825,2.02127404740947,-0.060265446912376,"Converged",0.99,0.01
189,-1.55023359558863,1.70188283676252,-0.150433226142017,"Converged",0.99,0.01
190,-1.90538686664215,2.45097645827548,-0.144281477193338,"Converged",0.99,0.01
191,-1.88168968163709,1.66682065648183,-0.0876284328697887,"Converged",0.99,0.01
192,-1.25432128857976,0.325306375491896,-0.146240995319641,"Converged",0.99,0.01
