"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","srs_resampled_V","cc_beta0","cc_beta1","cc_beta2","cc_conv_msg","cc_resampled_V","bcc_beta0","bcc_beta1","bcc_beta2","bcc_conv_msg","bcc_resampled_V","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_resampled_V","sfs_beta0","sfs_beta1","sfs_beta2","sfs_conv_msg","tpr","fpr"
239,NA,NA,NA,"B-spline error",FALSE,-2.00701594065676,1.60218876267895,-0.00467099738991888,"Converged",FALSE,-1.86097060119847,1.05367009647048,-0.0044323018022908,"Converged",FALSE,-1.8743663310789,1.08707999434431,-0.0041966499602092,"Converged",FALSE,-1.72299070835058,0.691161986099264,-0.0045398374388722,"Converged",0.99,0.01
240,-2.34371553017412,1.63479441368376,0.00461242839662107,"Converged",FALSE,-2.7553088583916,3.09916150558111,0.00323496076285856,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.46882746145048,2.13438963935937,0.00417184825446685,"Converged",FALSE,-2.68603873305433,2.74213334275012,0.00421885537591061,"Converged",0.99,0.01
241,-2.0297280863846,2.52996045292784,-0.012578973351825,"Converged",FALSE,-1.94787915057936,2.27356439620268,-0.0128938538890107,"Converged",FALSE,-1.84671533752689,1.74185317378912,-0.0124079588535117,"Converged",FALSE,-1.8615443588337,1.86374549002651,-0.0117839288339349,"Converged",FALSE,-1.81478054794037,1.78071024962225,-0.0122232951418829,"Converged",0.99,0.01
242,-1.7078486920669,1.69563522537929,-0.0142221882206097,"Converged",FALSE,-1.85552937368303,2.13820504251963,-0.0137994874964677,"Converged",FALSE,-1.76221176412535,1.81038804624702,-0.0139178196411364,"Converged",FALSE,-1.7323768495973,1.72989669878901,-0.0134482314331099,"Converged",FALSE,-1.73371671276089,1.85936413716245,-0.0142758216863965,"Converged",0.99,0.01
243,-2.71699041554507,2.23801962343277,0.00885648025413599,"Converged",FALSE,-2.74486649501956,2.33252551611062,0.00827081775481593,"Converged",FALSE,-2.83310839634911,2.53027032529466,0.00808278283432332,"Converged",FALSE,-3.25538800825196,3.77980989489006,0.00836575917881576,"Converged",FALSE,-2.84563121538335,2.53451695772846,0.00855355972507003,"Converged",0.99,0.01
244,-2.67319338111519,2.41862594918626,0.00561517713530464,"Converged",FALSE,-2.44579496966334,1.58517581587691,0.00629678782662465,"Converged",FALSE,-2.57662292190127,2.12131053398729,0.0056739584723139,"Converged",FALSE,-2.55924449218385,2.00865722218941,0.00600340291140155,"Converged",FALSE,-2.47291983000862,1.82268616387948,0.00625510145050352,"Converged",0.99,0.01
245,-1.8747109393028,2.4605857935621,-0.0150376631001155,"Converged",FALSE,-2.13071056080223,3.06987897258217,-0.0151453830558557,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.10062615052805,2.99835013324185,-0.0157195379760318,"Converged",FALSE,-2.19160054204976,3.30280922829465,-0.0160457755540493,"Converged",0.99,0.01
246,-0.695438463783055,0.67531425362086,-0.0257472337173305,"Converged",FALSE,-0.734856589912744,0.851142443137939,-0.0260137173880476,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.803803176262317,1.03727643896225,-0.0258720528963827,"Converged",FALSE,-0.806567666851768,0.997508944181775,-0.025684733217977,"Converged",0.99,0.01
247,-3.08905321823901,1.62916029159491,0.0152958500267219,"Converged",FALSE,-3.02690565619479,1.41214724702143,0.0155090252597936,"Converged",FALSE,-3.06424918758015,1.5365268374186,0.0152439093744471,"Converged",FALSE,-2.97528811616303,1.27540940831163,0.0153354155277474,"Converged",FALSE,-2.97346238431659,1.30206184643677,0.0153614206764947,"Converged",0.99,0.01
248,-1.76320445695223,1.12953653367262,-0.00516562095583201,"Converged",FALSE,-1.87320235263767,1.36494811419465,-0.00464129503222423,"Converged",FALSE,-1.80833952224119,1.25323485606947,-0.0050878660503352,"Converged",FALSE,-2.04076173541507,1.89397087540659,-0.00475864552274079,"Converged",FALSE,-1.77181822892424,1.20057416221336,-0.00536123290411703,"Converged",0.99,0.01
