"sim","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_data_resampled","audit_recovery"
906,-2.14845980201415,2.01475306746131,-0.108102067628414,"Converged",FALSE,0.25
907,-1.54872838982061,0.225117077480319,-0.0977258502458441,"Converged",FALSE,0.25
908,-1.79650079462125,1.44805081121308,-0.10640909947779,"Converged",FALSE,0.25
909,-1.56205640242786,0.749615963055687,-0.0648689986842844,"Converged",FALSE,0.25
910,-1.2465405356375,-0.496735423814789,-0.104392886076884,"Converged",FALSE,0.25
911,-1.76389032965541,0.296481801498522,-0.0436317871971243,"Converged",FALSE,0.25
912,-1.54829753255831,-0.0303699971244176,-0.0442137515699388,"Converged",FALSE,0.25
913,-1.33535752335528,0.563642356918126,-0.140073890868998,"Converged",FALSE,0.25
914,-2.16545930860126,2.01101340646463,-0.0812179579985816,"Converged",FALSE,0.25
915,-1.35481656738262,1.00215844970597,-0.167671228039247,"Converged",FALSE,0.25
916,-2.0486252350662,1.15445079970298,-0.0295660103624496,"Converged",FALSE,0.25
917,-1.32978808400439,1.0725676810681,-0.186817645568581,"Converged",FALSE,0.25
918,-2.02745272263868,1.34621951014663,-0.0676891412249875,"Converged",FALSE,0.25
919,-1.79158102012511,1.6007900785297,-0.102974959611536,"Converged",FALSE,0.25
920,-1.24268973353118,-0.299230017021224,-0.0946243392708055,"Converged",FALSE,0.25
921,-2.23029147864605,1.92544604404284,-0.0680486519323572,"Converged",FALSE,0.25
922,-2.53945715027163,2.28939221021332,-0.030545980009429,"Converged",FALSE,0.25
923,-1.45932031919035,0.866746635678361,-0.127308906217672,"Converged",FALSE,0.25
924,-1.68091165152309,1.40428308758868,-0.124132043916217,"Converged",FALSE,0.25
925,-1.89559622752029,0.650373638874701,-0.0460762696413416,"Converged",FALSE,0.25
926,-1.8505890293692,0.97982350292615,-0.0726729691828781,"Converged",FALSE,0.25
927,-0.886429101084693,-0.352275979566833,-0.193417839755048,"Converged",FALSE,0.25
928,-2.2165894109381,2.19201763576202,-0.0320761246653859,"Converged",FALSE,0.25
929,-1.81252926051877,1.4441689149151,-0.0638902324616894,"Converged",FALSE,0.25
930,-1.45670842419155,1.05140361628068,-0.143989889504363,"Converged",FALSE,0.25
931,-1.83029680748576,1.26068159431964,-0.0784099682631965,"Converged",FALSE,0.25
932,-2.14517626924415,1.74836675023173,-0.102957115131024,"Converged",FALSE,0.25
933,-2.03888591643239,1.64329941182618,-0.0878085371688762,"Converged",FALSE,0.25
934,-2.07796812933976,1.37597235213408,-0.0482394369319197,"Converged",FALSE,0.25
935,-2.14049770725453,1.51328728514969,-0.0587574227851509,"Converged",TRUE,0.25
936,-1.53360015683428,-0.00534016463362285,-0.05139318928292,"Converged",FALSE,0.25
937,-1.85003758405508,1.56859338244579,-0.0905318132466141,"Converged",TRUE,0.25
938,-1.55694299388116,0.262527784634872,-0.0887815989665883,"Converged",FALSE,0.25
939,-1.69477191254672,1.03222501901612,-0.0794050857320768,"Converged",FALSE,0.25
940,-2.04204759478566,1.29390153927587,-0.0643421922922202,"Converged",FALSE,0.25
941,-1.61498088378668,0.603832234527309,-0.0817505882716669,"Converged",FALSE,0.25
942,-1.73737994778827,1.01180226212275,-0.109152586259759,"Converged",FALSE,0.25
943,-1.753912967314,0.8761942558334,-0.105839088067458,"Converged",FALSE,0.25
944,-2.00510548819585,1.45784765023591,-0.0509628320735664,"Converged",FALSE,0.25
945,-2.03474182978567,1.87435942691035,-0.0664880105483574,"Converged",FALSE,0.25
946,-1.97650718283107,1.40667627097018,-0.0503449329396094,"Converged",FALSE,0.25
947,-2.305180322428,2.41049569083644,-0.127201041525739,"Converged",FALSE,0.25
948,-1.85439970631896,1.34404785890633,-0.0616051859769712,"Converged",FALSE,0.25
949,-1.91104862091247,2.07129459034011,-0.135997089832453,"Converged",FALSE,0.25
950,-2.25822940135656,2.03086640183955,-0.0608335942115602,"Converged",FALSE,0.25
951,-1.90054386345146,1.79242597650381,-0.0989352956391765,"Converged",FALSE,0.25
