"sim","bcc_beta0","bcc_beta1","bcc_beta2","bcc_conv_msg","bcc_data_resampled","audit_recovery"
55,-2.47154220122648,2.48297728371113,-0.0336789080249253,"Converged",FALSE,0.25
56,-1.99395551404961,2.15699985853328,-0.120466086328109,"Converged",FALSE,0.25
57,-1.94913083560815,1.0242646897475,-0.0635523205300456,"Converged",FALSE,0.25
58,-1.73793142256961,1.00197987385843,-0.0857264428423905,"Converged",FALSE,0.25
59,-2.05864589816661,2.01099109214204,-0.087528046062118,"Converged",FALSE,0.25
60,-1.51810764718692,0.847655378438109,-0.110988730558282,"Converged",FALSE,0.25
61,-1.54241004197091,0.774767187872212,-0.113107688763849,"Converged",FALSE,0.25
62,-2.06313665201431,2.06781954453878,-0.128422261897047,"Converged",FALSE,0.25
63,-1.70890166986308,1.27312427748069,-0.104567731910845,"Converged",FALSE,0.25
64,-1.53521606867443,1.12573904122323,-0.126138487590533,"Converged",FALSE,0.25
65,-2.15043905262966,2.18664151639448,-0.107346984823043,"Converged",FALSE,0.25
66,-1.74348076314431,1.07890947598279,-0.105442395362452,"Converged",FALSE,0.25
67,-1.03271835512208,-0.0160940798431178,-0.141448994081065,"Converged",FALSE,0.25
68,-2.05030478083673,1.20254360134641,-0.00670106365446047,"Converged",FALSE,0.25
69,-2.14250332739596,1.90208886068182,-0.0778643142115462,"Converged",TRUE,0.25
70,-1.69254183515737,1.03442804782959,-0.0843387357163535,"Converged",FALSE,0.25
71,-1.48156962017229,0.926021961106845,-0.161637365799472,"Converged",FALSE,0.25
72,-2.00885539764689,1.42559378116722,-0.0509511837934858,"Converged",FALSE,0.25
73,-1.49131693099971,0.477438443867692,-0.0991420171645748,"Converged",FALSE,0.25
74,-1.9046520172233,1.31057079618424,-0.0885311059713314,"Converged",FALSE,0.25
75,-1.82838802381722,1.05876144330173,-0.0693221392442415,"Converged",FALSE,0.25
76,-2.47938123909497,1.47824085713561,0.0240932615765869,"Converged",FALSE,0.25
77,-1.54847808974861,1.16713178113084,-0.129209826969213,"Converged",FALSE,0.25
78,-1.49502207242268,0.866985976132016,-0.116494112401829,"Converged",FALSE,0.25
79,-2.23871420552248,2.36124252344683,-0.0755732481122135,"Converged",FALSE,0.25
80,-1.84003776709722,1.91910318321705,-0.14168706093324,"Converged",FALSE,0.25
81,-2.52715188373497,3.993556932448,-0.149066537550804,"Converged",FALSE,0.25
82,-1.86454469250613,1.12667583301621,-0.0691718831048593,"Converged",FALSE,0.25
83,-1.27261828686809,0.0623223456652311,-0.124833276263196,"Converged",FALSE,0.25
84,-1.54066382981898,0.574711410811086,-0.107544755424012,"Converged",FALSE,0.25
85,-1.18132659056278,0.154272411544184,-0.166322222381947,"Converged",FALSE,0.25
86,-2.19950667083155,1.74803001130228,-0.0627795149869319,"Converged",FALSE,0.25
